index,Id,Release Date,Movie,Production Budget,Domestic Gross,Worldwide Gross,Profitability,ARR,Movie Id,Genres,prod_budget_bucket
4157,43,2011,Trust,4000000,120016,120016,-3879984,0.030004,tt1529572,Drama,b1
4157,43,2011,Trust,4000000,120016,120016,-3879984,0.030004,tt1529572,Thriller,b1
4161,47,2011,Stake Land,4000000,33245,679482,-3320518,0.1698705,tt1464580,Drama,b1
4161,47,2011,Stake Land,4000000,33245,679482,-3320518,0.1698705,tt1464580,Horror,b1
4161,47,2011,Stake Land,4000000,33245,679482,-3320518,0.1698705,tt1464580,Sci-Fi,b1
4163,49,2002,Sonny,4000000,17639,17639,-3982361,0.00440975,tt1599354,Drama,b1
4165,51,2014,13 Sins,4000000,9134,47552,-3952448,0.011888,tt2059171,Horror,b1
4165,51,2014,13 Sins,4000000,9134,47552,-3952448,0.011888,tt2059171,Thriller,b1
4166,52,2011,Another Happy Day,4000000,9120,978527,-3021473,0.24463175,tt1719071,Comedy,b1
4166,52,2011,Another Happy Day,4000000,9120,978527,-3021473,0.24463175,tt1719071,Drama,b1
4167,53,2013,Inescapable,4000000,4327,4327,-3995673,0.00108175,tt1844203,Action,b1
4167,53,2013,Inescapable,4000000,4327,4327,-3995673,0.00108175,tt1844203,Drama,b1
4167,53,2013,Inescapable,4000000,4327,4327,-3995673,0.00108175,tt1844203,Mystery,b1
4170,56,2012,A Lonely Place to Die,4000000,0,442550,-3557450,0.1106375,tt1422136,Crime,b1
4170,56,2012,A Lonely Place to Die,4000000,0,442550,-3557450,0.1106375,tt1422136,Thriller,b1
4171,57,2003,Nothing,4000000,0,63180,-3936820,0.015795,tt10332174,Sci-Fi,b1
4174,62,2012,Replicas,4000000,0,0,-4000000,0.0,tt4154916,Drama,b1
4174,62,2012,Replicas,4000000,0,0,-4000000,0.0,tt4154916,Sci-Fi,b1
4174,62,2012,Replicas,4000000,0,0,-4000000,0.0,tt4154916,Thriller,b1
4176,64,2015,The Veil,4000000,0,0,-4000000,0.0,tt3343868,Action,b1
4176,64,2015,The Veil,4000000,0,0,-4000000,0.0,tt3343868,Sci-Fi,b1
4177,65,2014,The Perfect Wave,4000000,0,0,-4000000,0.0,tt2414822,Drama,b1
4179,67,2015,Chain of Command,4000000,0,0,-4000000,0.0,tt4340720,Action,b1
